number_employment_days,Designation,promotion,Increment,business_value_index
336,2,0,0,6578.12
166,1,0,0,3036.14
1585,3,2,0,6025.48
690,3,2,0,2357.93
722,1,0,0,9973.93
198,4,3,0,9949.65
259,1,0,0,560.54
86,2,0,0,1348.14
108,2,0,0,8333.33
55,2,0,0,4545.45
194,2,0,0,10283.92
112,3,0,0,0.0
122,3,0,0,7380.49
32,4,0,0,0.0
1149,1,0,0,971.45
343,3,0,0,7477.64
1089,3,2,0,1610.05
209,1,0,0,8324.02
542,3,0,0,16599.21
356,1,0,0,2620.87
1609,1,0,0,2808.51
588,2,0,0,-1020.94
22,1,0,0,0.0
130,1,0,0,0.0
1623,2,1,0,3463.62
62,2,0,0,0.0
1172,2,1,0,6385.88
296,1,0,0,556.62
1202,3,2,0,15169.46
412,2,0,0,0.0
209,1,0,0,8779.81
229,3,0,0,3664.93
22,2,0,0,0.0
126,4,0,0,0.0
555,1,0,0,850.83
115,2,0,0,4442.87
1504,4,3,0,6075.73
24,2,0,0,0.0
22,3,0,0,0.0
86,2,0,0,0.0
430,2,1,0,2165.37
557,2,1,0,15438.67
895,1,0,0,5481.59
50,3,0,0,0.0
51,2,0,0,0.0
149,1,0,0,0.0
730,3,0,0,3517.64
1529,1,0,0,2584.84
499,1,0,0,2761.66
382,1,0,0,7380.58
224,1,0,0,0.0
720,2,1,0,5218.57
1409,1,0,0,1869.3
55,3,0,0,0.0
22,2,0,0,0.0
58,2,0,0,0.0
79,1,0,0,1902.28
192,1,0,0,0.0
138,1,0,0,743.84
810,2,1,0,2784.64
358,2,1,0,31741.96
1381,2,1,0,2139.12
109,1,0,0,1834.86
41,1,0,0,0.0
1237,2,1,0,4532.78
2116,3,1,0,325.89
72,1,0,0,0.0
59,3,0,0,0.0
56,1,0,0,0.0
578,3,2,0,41289.95
36,1,0,0,0.0
125,4,0,0,3124.0
106,1,0,0,8854.34
120,3,0,0,1263.33
592,1,0,0,1666.4
1347,1,0,0,3910.81
63,1,0,0,0.0
1613,3,2,0,4813.14
783,2,1,0,19001.69
32,2,0,0,0.0
1641,4,2,0,2078.92
161,2,0,0,4090.75
1315,2,1,0,5768.48
491,2,1,0,11815.54
34,3,0,0,0.0
2001,4,3,0,2644.47
59,1,0,0,0.0
616,2,0,0,2469.45
783,2,1,0,12137.34
1501,2,1,0,3755.76
579,1,0,0,4422.35
100,3,0,0,3023.4
592,2,1,0,19009.36
1355,1,0,0,4435.62
436,1,0,0,7678.39
69,3,0,0,2250.43
68,1,0,0,0.0
196,1,0,0,0.0
81,1,0,0,3830.37
446,2,0,0,11033.18
482,1,0,0,15540.95
1588,2,1,0,3151.06
105,3,0,0,3809.52
83,4,0,0,0.0
302,1,0,0,41070.66
457,1,0,0,453.44
170,2,0,0,0.0
118,1,0,0,1713.22
321,2,0,0,5241.68
1053,1,0,0,102.47
339,2,0,0,8648.23
460,1,0,0,17776.5
1340,3,2,0,7440.12
77,2,0,0,4877.92
418,5,0,0,240.12
65,2,0,0,0.0
603,3,1,0,9158.44
155,2,0,0,0.0
1620,3,1,0,5008.09
213,2,0,0,6782.11
27,2,0,0,0.0
74,2,0,0,0.0
582,1,0,0,5699.98
1683,3,2,0,4849.6
427,1,0,0,976.86
73,1,0,0,0.0
587,1,0,0,10324.67
171,2,0,0,1319.82
124,1,0,0,1173.31
52,1,0,0,0.0
591,3,2,0,27437.16
1511,3,2,0,5401.85
1550,2,1,0,4997.87
22,1,0,0,0.0
83,1,0,0,0.0
194,1,0,0,2904.12
201,2,0,0,5194.93
